epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.014,1.3349,2.26162,1.46954,0.51783,0.4524,0.45865,0.3207,1.06881,1.21185,1.24011,0.00333159,0.00333159,0.00333159
2,417.687,1.14246,1.30925,1.292,0.5594,0.48428,0.49691,0.33946,1.09936,1.16153,1.2743,0.00659894,0.00659894,0.00659894
3,597.823,1.2083,1.33533,1.32993,0.56412,0.48733,0.48917,0.31898,1.20993,1.23117,1.36432,0.00980029,0.00980029,0.00980029
4,777.458,1.28904,1.42908,1.39704,0.644,0.40121,0.45455,0.30324,1.22449,1.31047,1.37723,0.009703,0.009703,0.009703
5,957.544,1.25504,1.34196,1.37193,0.58815,0.53116,0.51518,0.3427,1.13504,1.17451,1.30737,0.009604,0.009604,0.009604
6,1137.74,1.20745,1.26567,1.33938,0.61078,0.52293,0.53123,0.36287,1.09325,1.06607,1.2758,0.009505,0.009505,0.009505
7,1318.39,1.16652,1.17984,1.30905,0.62185,0.57212,0.57155,0.38667,1.04683,1.01349,1.24322,0.009406,0.009406,0.009406
8,1505.07,1.12287,1.11755,1.28693,0.61509,0.59299,0.58403,0.40261,1.01472,0.96047,1.21191,0.009307,0.009307,0.009307
9,1687.71,1.09603,1.08131,1.26344,0.61355,0.57462,0.57465,0.40027,0.99881,0.94999,1.20579,0.009208,0.009208,0.009208
10,1868.71,1.06926,1.02666,1.23835,0.64919,0.61932,0.60188,0.42746,0.95817,0.91146,1.16234,0.009109,0.009109,0.009109
11,2045.82,1.04495,0.98893,1.22177,0.63956,0.64927,0.61233,0.4357,0.94412,0.9153,1.1664,0.00901,0.00901,0.00901
12,2222.08,1.03087,0.95931,1.21652,0.59962,0.67968,0.63586,0.45067,0.91944,0.82017,1.14437,0.008911,0.008911,0.008911
13,2396.76,1.00948,0.93771,1.20066,0.66092,0.65085,0.64105,0.45779,0.89326,0.7859,1.11693,0.008812,0.008812,0.008812
