epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.055,1.45027,2.09368,1.47625,0.49463,0.36557,0.3627,0.23518,1.44331,1.78086,1.54962,0.000333125,0.000333125,0.000333125
2,443.801,1.45775,1.78224,1.48599,0.58781,0.40754,0.43993,0.28322,1.40913,1.6473,1.53236,0.00065986,0.00065986,0.00065986
3,667.104,1.41373,1.67136,1.46761,0.60088,0.44163,0.47906,0.31696,1.36343,1.52368,1.47111,0.000979995,0.000979995,0.000979995
4,869.79,1.36791,1.5778,1.42814,0.61614,0.47107,0.50565,0.33722,1.31066,1.43117,1.42816,0.0009703,0.0009703,0.0009703
5,1065.15,1.28863,1.4465,1.37679,0.68823,0.50456,0.56559,0.38429,1.21749,1.23667,1.3638,0.0009604,0.0009604,0.0009604
6,1262.44,1.23093,1.32128,1.33061,0.69771,0.52253,0.58824,0.40496,1.17201,1.1503,1.316,0.0009505,0.0009505,0.0009505
7,1459.67,1.18794,1.26801,1.30855,0.71185,0.55796,0.61813,0.42906,1.12882,1.11732,1.29573,0.0009406,0.0009406,0.0009406
8,1661.81,1.17307,1.21532,1.29561,0.69064,0.58212,0.62203,0.43179,1.11506,1.08006,1.27853,0.0009307,0.0009307,0.0009307
9,1871.13,1.14607,1.17851,1.27398,0.77545,0.54988,0.63654,0.45047,1.08429,1.03111,1.24708,0.0009208,0.0009208,0.0009208
10,2083.96,1.10671,1.13281,1.25281,0.71691,0.59688,0.65036,0.45892,1.05478,1.00795,1.23359,0.0009109,0.0009109,0.0009109
11,2463.53,1.09489,1.10553,1.24089,0.73655,0.59181,0.65957,0.46877,1.03826,0.97493,1.22064,0.000901,0.000901,0.000901
12,2743.46,1.07811,1.07603,1.22604,0.74835,0.61175,0.66677,0.47289,1.02692,0.93911,1.20206,0.0008911,0.0008911,0.0008911
13,3076.48,1.06243,1.04354,1.21609,0.79364,0.58081,0.67261,0.48134,1.01587,0.95158,1.19393,0.0008812,0.0008812,0.0008812
14,3437.26,1.04702,1.01898,1.2081,0.75631,0.63537,0.69023,0.49804,0.99079,0.89648,1.18019,0.0008713,0.0008713,0.0008713
15,3774.41,1.03688,1.00599,1.20118,0.72688,0.63592,0.69799,0.50245,0.98191,0.89102,1.17611,0.0008614,0.0008614,0.0008614
16,4148.71,1.02498,0.98523,1.19105,0.72128,0.64591,0.69543,0.50445,0.97646,0.86974,1.17443,0.0008515,0.0008515,0.0008515
17,4523.66,1.01624,0.96889,1.19015,0.79587,0.61885,0.70539,0.51508,0.95682,0.85115,1.15427,0.0008416,0.0008416,0.0008416
18,4898.59,0.99588,0.95019,1.17678,0.7405,0.66008,0.71082,0.5174,0.94322,0.83286,1.13587,0.0008317,0.0008317,0.0008317
19,5267.95,0.98629,0.92242,1.16512,0.76559,0.66768,0.72325,0.52421,0.94041,0.82189,1.14139,0.0008218,0.0008218,0.0008218
20,5694.85,0.97723,0.91584,1.16272,0.77146,0.6731,0.72981,0.53499,0.92228,0.81645,1.12801,0.0008119,0.0008119,0.0008119
