epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.647,1.38259,2.21514,1.43748,0.67819,0.45636,0.50316,0.36211,1.12691,1.21774,1.19797,0.00332916,0.00332916,0.00332916
2,464.78,1.17382,1.32825,1.25297,0.72953,0.5105,0.57886,0.40111,1.13734,1.11903,1.22274,0.00662952,0.00662952,0.00662952
3,662.635,1.2483,1.35411,1.29451,0.67218,0.47954,0.5251,0.3546,1.22965,1.29907,1.27971,0.00989687,0.00989687,0.00989687
4,863.895,1.32991,1.44298,1.34866,0.66468,0.49097,0.52274,0.35215,1.24187,1.26666,1.29119,0.0098515,0.0098515,0.0098515
5,1070.5,1.30944,1.39626,1.34984,0.68035,0.52193,0.58083,0.39582,1.20591,1.19062,1.2773,0.009802,0.009802,0.009802
6,1268.28,1.26339,1.31552,1.32068,0.67159,0.53686,0.58138,0.40209,1.18086,1.16246,1.26633,0.0097525,0.0097525,0.0097525
7,1534.89,1.23624,1.2532,1.30022,0.68574,0.5716,0.61345,0.42298,1.14352,1.06297,1.22823,0.009703,0.009703,0.009703
8,1834.53,1.19738,1.20231,1.27519,0.70125,0.58757,0.63077,0.44442,1.09531,1.02735,1.19306,0.0096535,0.0096535,0.0096535
9,2145.57,1.16419,1.16466,1.25992,0.75737,0.5723,0.64247,0.45473,1.08146,0.99127,1.18969,0.009604,0.009604,0.009604
10,2437.99,1.15552,1.13508,1.2496,0.71805,0.6116,0.65974,0.46596,1.04528,0.98555,1.16462,0.0095545,0.0095545,0.0095545
11,2737.81,1.14085,1.10886,1.2452,0.75365,0.60955,0.67531,0.48263,1.03454,0.92062,1.15874,0.009505,0.009505,0.009505
12,3040.91,1.12397,1.07025,1.23185,0.74133,0.626,0.68224,0.49261,1.02388,0.8802,1.14585,0.0094555,0.0094555,0.0094555
13,3340.72,1.10323,1.0483,1.21928,0.74527,0.63216,0.69159,0.49763,1.00363,0.88685,1.13964,0.009406,0.009406,0.009406
14,3642.14,1.09115,1.03205,1.2057,0.77037,0.62678,0.70224,0.50989,0.98704,0.85552,1.12356,0.0093565,0.0093565,0.0093565
15,3940.07,1.07183,1.00708,1.19878,0.74603,0.64316,0.70832,0.51392,0.989,0.83832,1.12396,0.009307,0.009307,0.009307
16,4241.58,1.07961,1.00487,1.20515,0.74692,0.65016,0.71485,0.51853,0.97402,0.84056,1.11055,0.0092575,0.0092575,0.0092575
17,4549.33,1.05488,0.9756,1.18483,0.73702,0.66137,0.7132,0.52135,0.95519,0.81883,1.09725,0.009208,0.009208,0.009208
18,4854.26,1.04301,0.96596,1.17929,0.75026,0.67519,0.72257,0.52832,0.95375,0.79721,1.0967,0.0091585,0.0091585,0.0091585
19,5161.63,1.03433,0.95147,1.17073,0.76067,0.66871,0.72693,0.53232,0.93722,0.80478,1.09034,0.009109,0.009109,0.009109
20,5467.52,1.01523,0.93009,1.16265,0.7428,0.68497,0.73087,0.53858,0.92755,0.77647,1.08612,0.0090595,0.0090595,0.0090595
21,5774.14,1.0048,0.91117,1.16249,0.7598,0.68365,0.7353,0.54044,0.94146,0.7623,1.09,0.00901,0.00901,0.00901
22,6081.44,1.00534,0.9045,1.15621,0.73898,0.68879,0.73715,0.54342,0.9211,0.76422,1.08119,0.0089605,0.0089605,0.0089605
23,6377.54,1.00821,0.89998,1.15278,0.75742,0.68861,0.74343,0.55296,0.90579,0.74529,1.06874,0.008911,0.008911,0.008911
24,6684.3,0.98989,0.88239,1.14029,0.76667,0.69024,0.74711,0.55605,0.90571,0.75077,1.0641,0.0088615,0.0088615,0.0088615
25,6924.94,0.98404,0.88237,1.14159,0.75869,0.68788,0.7456,0.55374,0.90565,0.73421,1.06884,0.008812,0.008812,0.008812
26,7224.01,0.98917,0.87628,1.14726,0.788,0.68879,0.75525,0.56316,0.88822,0.72619,1.06014,0.0087625,0.0087625,0.0087625
27,7518.93,0.9649,0.8517,1.13157,0.76303,0.69908,0.75549,0.5638,0.88803,0.71045,1.05643,0.008713,0.008713,0.008713
28,7816.37,0.96956,0.85181,1.13057,0.79596,0.70165,0.7646,0.57346,0.88265,0.70288,1.05109,0.0086635,0.0086635,0.0086635
29,8115.12,0.95467,0.84759,1.12546,0.7686,0.7135,0.76166,0.5695,0.88177,0.70368,1.05165,0.008614,0.008614,0.008614
30,8381,0.96284,0.84877,1.13378,0.79401,0.68538,0.76188,0.57223,0.86805,0.69973,1.04895,0.0085645,0.0085645,0.0085645
31,8682.25,0.95612,0.83021,1.12474,0.77552,0.70865,0.76351,0.5736,0.87172,0.69484,1.04967,0.008515,0.008515,0.008515
32,8988.96,0.9471,0.8207,1.12004,0.77328,0.7247,0.77442,0.58144,0.8626,0.68291,1.04698,0.0084655,0.0084655,0.0084655
33,9279.09,0.94426,0.8235,1.12027,0.78472,0.72397,0.77372,0.58253,0.86213,0.68333,1.03958,0.008416,0.008416,0.008416
34,9474.11,0.93889,0.80779,1.11508,0.75291,0.73541,0.77515,0.58886,0.85259,0.66462,1.04251,0.0083665,0.0083665,0.0083665
35,9662.72,0.92782,0.80096,1.10808,0.77139,0.73986,0.77912,0.59063,0.84237,0.65309,1.03213,0.008317,0.008317,0.008317
36,9850.53,0.9312,0.79037,1.10437,0.79943,0.72654,0.78166,0.59412,0.84822,0.6534,1.03982,0.0082675,0.0082675,0.0082675
37,10038.1,0.92278,0.78619,1.10398,0.77405,0.73903,0.78524,0.5932,0.84011,0.65058,1.03136,0.008218,0.008218,0.008218
38,10226.4,0.92272,0.78849,1.1072,0.77638,0.73896,0.78376,0.59484,0.84111,0.65708,1.02778,0.0081685,0.0081685,0.0081685
39,10414.4,0.91509,0.78051,1.09865,0.79505,0.72915,0.78579,0.59687,0.82739,0.64776,1.01945,0.008119,0.008119,0.008119
40,10602,0.9158,0.78069,1.1017,0.77539,0.73594,0.79001,0.59955,0.83284,0.64631,1.02501,0.0080695,0.0080695,0.0080695
41,10787.1,0.90889,0.77051,1.09872,0.77123,0.74846,0.79017,0.60301,0.82614,0.63498,1.01936,0.00802,0.00802,0.00802
42,10972.7,0.90476,0.7671,1.0941,0.79936,0.7427,0.79702,0.61025,0.80908,0.62285,1.00466,0.0079705,0.0079705,0.0079705
43,11157.6,0.90368,0.76698,1.09145,0.7868,0.74079,0.79412,0.60727,0.81446,0.62698,1.01669,0.007921,0.007921,0.007921
44,11342.7,0.89709,0.76144,1.08691,0.78844,0.73586,0.78996,0.60643,0.81505,0.6336,1.01315,0.0078715,0.0078715,0.0078715
45,11528.3,0.89301,0.76096,1.09468,0.77545,0.75347,0.79401,0.60626,0.80789,0.62258,1.01367,0.007822,0.007822,0.007822
46,11713.1,0.88765,0.74097,1.08895,0.78702,0.75183,0.79557,0.60971,0.80622,0.61992,1.01409,0.0077725,0.0077725,0.0077725
47,11898.8,0.89293,0.74896,1.086,0.79219,0.7482,0.79791,0.61289,0.80365,0.61175,1.01116,0.007723,0.007723,0.007723
48,12084.1,0.88117,0.74523,1.08237,0.80507,0.7538,0.80335,0.61519,0.80309,0.61524,1.00493,0.0076735,0.0076735,0.0076735
49,12269.3,0.88391,0.73567,1.08144,0.79033,0.76092,0.80221,0.61728,0.79337,0.61178,0.99736,0.007624,0.007624,0.007624
50,12458.4,0.87606,0.73254,1.07635,0.79724,0.74563,0.79865,0.61362,0.79562,0.60924,1.00422,0.0075745,0.0075745,0.0075745
51,12646.2,0.8796,0.72454,1.07747,0.79742,0.76407,0.80724,0.62102,0.79239,0.59445,0.99884,0.007525,0.007525,0.007525
52,12834.2,0.87906,0.72885,1.07379,0.80498,0.75609,0.80902,0.62544,0.78499,0.5918,0.99982,0.0074755,0.0074755,0.0074755
53,13021.5,0.8598,0.71713,1.07159,0.80077,0.75757,0.80486,0.62459,0.7871,0.59243,1.00071,0.007426,0.007426,0.007426
54,13209.4,0.87229,0.72285,1.07405,0.80897,0.75742,0.80727,0.62439,0.78766,0.58673,1.00122,0.0073765,0.0073765,0.0073765
55,13398.4,0.86266,0.71846,1.07018,0.80052,0.76568,0.80799,0.62737,0.78059,0.58522,1.00002,0.007327,0.007327,0.007327
56,13588.6,0.85502,0.70746,1.06591,0.80676,0.76338,0.81003,0.62762,0.78318,0.58115,0.99765,0.0072775,0.0072775,0.0072775
57,13777.2,0.85993,0.70954,1.06589,0.79913,0.76162,0.81119,0.63235,0.77063,0.58108,0.99147,0.007228,0.007228,0.007228
58,13965.5,0.85415,0.70179,1.06513,0.80674,0.76816,0.81479,0.63032,0.77348,0.57533,0.9903,0.0071785,0.0071785,0.0071785
59,14153.9,0.85431,0.69424,1.06253,0.82203,0.76479,0.81987,0.63427,0.77899,0.56874,0.99449,0.007129,0.007129,0.007129
60,14342.2,0.85633,0.69768,1.06179,0.8169,0.7657,0.81733,0.6348,0.77332,0.56954,0.99091,0.0070795,0.0070795,0.0070795
61,14529.7,0.83805,0.69077,1.05398,0.81274,0.76596,0.81532,0.63236,0.77109,0.57223,0.98943,0.00703,0.00703,0.00703
62,14715.3,0.85259,0.6905,1.06087,0.80839,0.77918,0.82199,0.63725,0.76648,0.56564,0.98421,0.0069805,0.0069805,0.0069805
63,14901,0.83541,0.68177,1.0533,0.80837,0.77285,0.8196,0.63606,0.76201,0.56567,0.98562,0.006931,0.006931,0.006931
64,15087.7,0.84176,0.68851,1.05886,0.80947,0.77348,0.81999,0.63765,0.76273,0.57015,0.98466,0.0068815,0.0068815,0.0068815
65,15273.8,0.83531,0.68123,1.0515,0.80709,0.77103,0.81935,0.64047,0.75357,0.56462,0.97679,0.006832,0.006832,0.006832
66,15459.6,0.83789,0.68217,1.05451,0.8236,0.7731,0.82525,0.64347,0.75753,0.55748,0.97856,0.0067825,0.0067825,0.0067825
67,15645.2,0.83883,0.68661,1.0539,0.81422,0.77117,0.8246,0.64435,0.75472,0.55249,0.98179,0.006733,0.006733,0.006733
68,15831.8,0.82826,0.67426,1.04798,0.80445,0.7739,0.82095,0.64269,0.75221,0.55559,0.97896,0.0066835,0.0066835,0.0066835
69,16036.1,0.82562,0.66179,1.04731,0.80762,0.77633,0.82256,0.64408,0.75415,0.55261,0.97833,0.006634,0.006634,0.006634
70,16261.9,0.81751,0.66357,1.04425,0.81277,0.77449,0.82231,0.64385,0.74942,0.5501,0.97649,0.0065845,0.0065845,0.0065845
71,16450.1,0.82094,0.66239,1.04395,0.80816,0.78167,0.82217,0.64427,0.74816,0.5466,0.97562,0.006535,0.006535,0.006535
72,16638.5,0.82224,0.6666,1.04632,0.8126,0.77589,0.82224,0.64474,0.74904,0.54565,0.97728,0.0064855,0.0064855,0.0064855
73,16826.2,0.81705,0.65657,1.04272,0.806,0.77824,0.82311,0.64606,0.74948,0.54565,0.97836,0.006436,0.006436,0.006436
74,17012.5,0.80523,0.64803,1.03899,0.83056,0.77505,0.8287,0.64958,0.75036,0.53834,0.97782,0.0063865,0.0063865,0.0063865
75,17201.6,0.82194,0.65394,1.04389,0.81688,0.77971,0.82579,0.64816,0.74637,0.53866,0.97889,0.006337,0.006337,0.006337
76,17389.9,0.81619,0.65786,1.04104,0.82143,0.77499,0.82653,0.64878,0.7462,0.54152,0.97533,0.0062875,0.0062875,0.0062875
77,17578.1,0.81074,0.64202,1.03947,0.80831,0.78867,0.82924,0.64922,0.74685,0.53619,0.97637,0.006238,0.006238,0.006238
78,17766.5,0.79791,0.63923,1.0347,0.81969,0.7825,0.82899,0.64942,0.74967,0.53753,0.97904,0.0061885,0.0061885,0.0061885
79,17954.9,0.80965,0.64838,1.03954,0.81668,0.78056,0.82879,0.65091,0.74452,0.53972,0.977,0.006139,0.006139,0.006139
80,18143.4,0.81345,0.64544,1.04029,0.81252,0.78359,0.8288,0.65216,0.73949,0.53472,0.97226,0.0060895,0.0060895,0.0060895
81,18333.3,0.80033,0.64134,1.02845,0.81601,0.78199,0.82934,0.65413,0.73702,0.52877,0.96973,0.00604,0.00604,0.00604
82,18522.2,0.80077,0.64195,1.03228,0.82532,0.77687,0.83129,0.65571,0.73506,0.5311,0.96919,0.0059905,0.0059905,0.0059905
83,18711.1,0.79343,0.62845,1.02749,0.82664,0.77848,0.83125,0.65563,0.73654,0.53,0.97145,0.005941,0.005941,0.005941
84,18899.5,0.79436,0.63373,1.03166,0.82251,0.78745,0.83107,0.65664,0.73402,0.52598,0.97032,0.0058915,0.0058915,0.0058915
85,19087.6,0.78872,0.63257,1.0266,0.82423,0.78731,0.83167,0.65578,0.73705,0.53088,0.97403,0.005842,0.005842,0.005842
86,19276.6,0.79105,0.63113,1.02945,0.83214,0.78195,0.83231,0.65548,0.73298,0.52904,0.97201,0.0057925,0.0057925,0.0057925
87,19464.2,0.78858,0.62138,1.02755,0.81922,0.78912,0.83066,0.65555,0.73185,0.53039,0.97103,0.005743,0.005743,0.005743
88,19652.9,0.79026,0.63049,1.02728,0.8184,0.79193,0.83147,0.65786,0.7271,0.52814,0.96902,0.0056935,0.0056935,0.0056935
89,19841.3,0.78695,0.62455,1.03165,0.82217,0.79126,0.8323,0.65846,0.72822,0.52376,0.96887,0.005644,0.005644,0.005644
90,20029.7,0.78247,0.62662,1.02753,0.81416,0.79185,0.82965,0.65853,0.72407,0.52326,0.96706,0.0055945,0.0055945,0.0055945
91,20218.1,0.7888,0.62331,1.02766,0.81153,0.79467,0.83108,0.66015,0.72181,0.52042,0.96555,0.005545,0.005545,0.005545
92,20407.1,0.78286,0.61645,1.0256,0.82393,0.79202,0.83312,0.66078,0.72321,0.52274,0.96403,0.0054955,0.0054955,0.0054955
93,20596.3,0.78005,0.61045,1.02267,0.82323,0.79315,0.83506,0.66018,0.72206,0.52303,0.96462,0.005446,0.005446,0.005446
94,20784.7,0.78027,0.61261,1.01804,0.82621,0.78469,0.83457,0.66307,0.7172,0.51985,0.96194,0.0053965,0.0053965,0.0053965
95,20972.9,0.77189,0.60645,1.01599,0.82562,0.79075,0.83524,0.66291,0.7182,0.51794,0.96141,0.005347,0.005347,0.005347
96,21160.5,0.77156,0.60781,1.01641,0.83448,0.78692,0.83763,0.66421,0.71805,0.51703,0.96377,0.0052975,0.0052975,0.0052975
97,21349.1,0.77632,0.61686,1.01814,0.83488,0.78357,0.83622,0.66415,0.718,0.51668,0.96432,0.005248,0.005248,0.005248
98,21537.2,0.77108,0.60484,1.01844,0.82702,0.78804,0.83409,0.66522,0.71332,0.51254,0.96259,0.0051985,0.0051985,0.0051985
99,21725.5,0.76995,0.60563,1.01731,0.8195,0.79324,0.83528,0.66551,0.71351,0.51236,0.96466,0.005149,0.005149,0.005149
100,21914,0.77427,0.60543,1.01662,0.8224,0.79799,0.83758,0.66545,0.71427,0.51224,0.96451,0.0050995,0.0050995,0.0050995
101,22101.7,0.76156,0.59899,1.01195,0.82594,0.79422,0.83822,0.66624,0.71302,0.51041,0.96418,0.00505,0.00505,0.00505
102,22290.7,0.76033,0.59757,1.01417,0.82509,0.79193,0.83657,0.6669,0.71344,0.50957,0.96484,0.0050005,0.0050005,0.0050005
103,22478.3,0.76206,0.59229,1.01142,0.82616,0.79546,0.83735,0.66694,0.71235,0.50891,0.96576,0.004951,0.004951,0.004951
104,22666.3,0.76521,0.59889,1.01718,0.82642,0.79429,0.83782,0.66655,0.71426,0.50765,0.96578,0.0049015,0.0049015,0.0049015
105,22857.2,0.75809,0.58732,1.01227,0.82655,0.79623,0.8397,0.66762,0.71572,0.50547,0.96666,0.004852,0.004852,0.004852
106,23045.4,0.76251,0.59416,1.01374,0.82911,0.7993,0.84061,0.66874,0.71448,0.50407,0.96417,0.0048025,0.0048025,0.0048025
107,23232.5,0.747,0.57806,1.00899,0.82703,0.79912,0.83978,0.6683,0.71466,0.50294,0.9638,0.004753,0.004753,0.004753
108,23420.9,0.74682,0.58321,1.00607,0.82416,0.79868,0.83907,0.66772,0.71208,0.50235,0.9619,0.0047035,0.0047035,0.0047035
109,23608.5,0.74989,0.58413,1.00656,0.82518,0.7993,0.83947,0.66809,0.71155,0.50257,0.96254,0.004654,0.004654,0.004654
110,23796.1,0.74773,0.57654,1.00953,0.82453,0.79986,0.83949,0.66851,0.71165,0.50223,0.96451,0.0046045,0.0046045,0.0046045
111,23984.4,0.74051,0.56704,1.00116,0.83241,0.79555,0.84019,0.66825,0.71064,0.50233,0.96457,0.004555,0.004555,0.004555
112,24172.9,0.74722,0.57665,1.00681,0.83069,0.79787,0.84078,0.66905,0.70993,0.50284,0.96411,0.0045055,0.0045055,0.0045055
113,24361.3,0.74483,0.57758,1.00796,0.83274,0.79679,0.8407,0.66947,0.70913,0.5036,0.96384,0.004456,0.004456,0.004456
114,24549.4,0.74859,0.5715,1.00232,0.8337,0.7983,0.84117,0.6704,0.70742,0.50218,0.96232,0.0044065,0.0044065,0.0044065
115,24738.6,0.74294,0.57601,1.00383,0.83815,0.79675,0.84061,0.67007,0.70675,0.50009,0.96224,0.004357,0.004357,0.004357
116,24926.9,0.73799,0.57204,1.00219,0.84042,0.79501,0.84118,0.67096,0.7067,0.49918,0.96222,0.0043075,0.0043075,0.0043075
117,25115.4,0.73376,0.56442,1.00063,0.84018,0.79633,0.84288,0.67134,0.70729,0.49988,0.9613,0.004258,0.004258,0.004258
118,25304.3,0.73615,0.5675,1.00413,0.84258,0.79617,0.84339,0.67211,0.70695,0.50024,0.96076,0.0042085,0.0042085,0.0042085
119,25493.2,0.73693,0.57181,1.00121,0.83873,0.79649,0.84317,0.67184,0.70656,0.49963,0.96102,0.004159,0.004159,0.004159
120,25681.9,0.73409,0.5651,0.99822,0.83479,0.79925,0.84331,0.67289,0.70462,0.4981,0.96073,0.0041095,0.0041095,0.0041095
121,25870.2,0.73002,0.55808,0.99783,0.83635,0.80033,0.84335,0.67294,0.70417,0.49763,0.96001,0.00406,0.00406,0.00406
122,26059.3,0.72942,0.55494,0.99518,0.83477,0.80093,0.84332,0.67385,0.70447,0.49672,0.95981,0.0040105,0.0040105,0.0040105
123,26248.2,0.73311,0.55933,0.99605,0.83472,0.80202,0.84408,0.67346,0.70299,0.49611,0.95963,0.003961,0.003961,0.003961
124,26438.8,0.72523,0.55303,0.99445,0.8371,0.80019,0.84479,0.67441,0.70393,0.49593,0.96034,0.0039115,0.0039115,0.0039115
125,26626.2,0.72008,0.54787,0.99195,0.83384,0.80192,0.84516,0.6741,0.70393,0.49493,0.96011,0.003862,0.003862,0.003862
126,26811.4,0.71938,0.54749,0.9932,0.83944,0.79957,0.8454,0.67412,0.70317,0.49346,0.95989,0.0038125,0.0038125,0.0038125
127,27035.1,0.72153,0.55374,0.99633,0.83801,0.80028,0.84612,0.67519,0.70192,0.49182,0.95932,0.003763,0.003763,0.003763
128,27319.8,0.72149,0.55124,0.99393,0.83747,0.80322,0.84685,0.67561,0.70212,0.49051,0.95908,0.0037135,0.0037135,0.0037135
129,27602.7,0.71831,0.54436,0.99231,0.83783,0.80199,0.84677,0.67565,0.70088,0.48939,0.95864,0.003664,0.003664,0.003664
130,27891.7,0.71757,0.54724,0.99171,0.83936,0.80177,0.84699,0.67552,0.70022,0.48951,0.95811,0.0036145,0.0036145,0.0036145
131,28193.7,0.71157,0.54335,0.98785,0.83949,0.80124,0.84708,0.67623,0.69989,0.48942,0.95746,0.003565,0.003565,0.003565
132,28496.3,0.71766,0.54866,0.99309,0.84214,0.79965,0.84718,0.67631,0.69978,0.48962,0.95736,0.0035155,0.0035155,0.0035155
133,28766.2,0.71242,0.53916,0.98659,0.83964,0.8,0.84696,0.67646,0.69896,0.49001,0.95643,0.003466,0.003466,0.003466
134,28995.8,0.70209,0.53503,0.98613,0.84315,0.80057,0.84638,0.67599,0.69793,0.49014,0.95573,0.0034165,0.0034165,0.0034165
135,29191.2,0.7062,0.54309,0.98951,0.84493,0.79955,0.84695,0.67641,0.69835,0.48912,0.95622,0.003367,0.003367,0.003367
136,29448.4,0.70265,0.53674,0.98731,0.84568,0.79904,0.84727,0.67667,0.69737,0.48827,0.95578,0.0033175,0.0033175,0.0033175
137,29677.4,0.70487,0.53128,0.98642,0.84581,0.79969,0.84735,0.67665,0.69755,0.48845,0.95594,0.003268,0.003268,0.003268
138,29871.1,0.69998,0.52987,0.98354,0.84645,0.79987,0.84767,0.67654,0.69787,0.48843,0.95613,0.0032185,0.0032185,0.0032185
139,30064.7,0.69828,0.52857,0.98365,0.84311,0.80178,0.8472,0.67699,0.6977,0.4882,0.9559,0.003169,0.003169,0.003169
140,30258.4,0.6991,0.517,0.97971,0.84582,0.80042,0.84777,0.67723,0.69805,0.48751,0.95671,0.0031195,0.0031195,0.0031195
141,30452.6,0.69339,0.5218,0.98074,0.84907,0.79744,0.84758,0.67779,0.69785,0.48648,0.95674,0.00307,0.00307,0.00307
142,30644.4,0.69278,0.51968,0.9792,0.84996,0.79842,0.84831,0.678,0.69726,0.48622,0.9567,0.0030205,0.0030205,0.0030205
143,30832.5,0.68914,0.51775,0.97866,0.84881,0.79889,0.84869,0.6785,0.69654,0.48574,0.95656,0.002971,0.002971,0.002971
144,31019.6,0.69599,0.5234,0.98123,0.84957,0.79725,0.84877,0.67911,0.69642,0.48652,0.9564,0.0029215,0.0029215,0.0029215
