epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10447.7,1.12117,0.85817,1.20589,0.76087,0.83464,0.77451,0.53907,1.04132,0.59095,1.09558,0.007228,0.007228,0.007228
44,10689,1.11581,0.85945,1.20063,0.75752,0.83096,0.77084,0.53443,1.04326,0.58907,1.09033,0.007162,0.007162,0.007162
45,10929.6,1.10119,0.84692,1.19514,0.76483,0.83738,0.77494,0.53659,1.03114,0.58511,1.08533,0.007096,0.007096,0.007096
46,11170.1,1.10298,0.84457,1.19558,0.76608,0.84183,0.77409,0.53945,1.03641,0.57925,1.08959,0.00703,0.00703,0.00703
47,11410.8,1.09678,0.83598,1.18991,0.76305,0.84058,0.77603,0.53812,1.04021,0.57972,1.08975,0.006964,0.006964,0.006964
48,11660,1.09486,0.83396,1.18663,0.75663,0.8474,0.77545,0.54023,1.02928,0.57572,1.08288,0.006898,0.006898,0.006898
49,11899.9,1.08635,0.82946,1.18552,0.76249,0.85043,0.77719,0.54482,1.00954,0.5652,1.07012,0.006832,0.006832,0.006832
50,12138.9,1.07804,0.82421,1.17885,0.75505,0.85335,0.77787,0.54908,0.99114,0.55877,1.06184,0.006766,0.006766,0.006766
51,12378.2,1.06701,0.81276,1.17443,0.7591,0.85063,0.78092,0.55441,0.96207,0.54748,1.05111,0.0067,0.0067,0.0067
52,12618,1.06463,0.81204,1.16812,0.77475,0.84964,0.784,0.5562,0.94446,0.54011,1.04468,0.006634,0.006634,0.006634
53,12856.2,1.06729,0.81581,1.17435,0.76795,0.85512,0.78357,0.56021,0.92992,0.53532,1.03882,0.006568,0.006568,0.006568
54,13095.9,1.06059,0.80532,1.17326,0.76739,0.85576,0.78487,0.56681,0.91129,0.53058,1.03119,0.006502,0.006502,0.006502
55,13336.9,1.05404,0.79996,1.16325,0.77347,0.85314,0.78796,0.57173,0.89511,0.52448,1.0239,0.006436,0.006436,0.006436
